Stock Code,Company Name
PZZA,Sarimelati Kencana Tbk.
RAJA,Rukun Raharja Tbk.
RALS,Ramayana Lestari Sentosa Tbk.
RANC,Supra Boga Lestari Tbk.
RBMS,Ristia Bintang Mahkotasejati Tbk.
RDTX,Roda Vivatex Tbk
RELI,Reliance Sekuritas Indonesia Tbk.
RICY,Ricky Putra Globalindo Tbk
RIGS,Rig Tenders Indonesia Tbk.
RIMO,Rimo International Lestari Tbk
RISE,Jaya Sukses Makmur Sentosa Tbk.
RMBA,Bentoel Internasional Investama Tbk.
RODA,Pikko Land Development Tbk.
ROTI,Nippon Indosari Corpindo Tbk.
RUIS,Radiant Utama Interinsco Tbk.
SAFE,Steady Safe Tbk
SAME,Sarana Meditama Metropolitan Tbk.
SAPX,Satria Antaran Prima Tbk.
SATU,Kota Satu Properti Tbk.
SCBD,Danayasa Arthatama Tbk.
SCCO,Supreme Cable Manufacturing & Commerce Tbk.
SCMA,Surya Citra Media Tbk.
SCPI,Merck Sharp Dohme Pharma Tbk.
SDMU,Sidomulyo Selaras Tbk.
SDPC,Millennium Pharmacon International Tbk.
SDRA,Bank Woori Saudara Indonesia 1906 Tbk.
SGRO,Sampoerna Agro Tbk.
SHID,Hotel Sahid Jaya International Tbk.
SHIP,Sillo Maritime Perdana Tbk.
SIAP,Sekawan Intipratama Tbk
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.
SILO,Siloam International Hospitals Tbk.
SIMA,Siwani Makmur Tbk
SIMP,Salim Ivomas Pratama Tbk.
SIPD,Sierad Produce Tbk.
SKBM,Sekar Bumi Tbk.
SKLT,Sekar Laut Tbk.
SKRN,Superkrane Mitra Utama Tbk.
SKYB,Skybee Tbk.
SMAR,Smart Tbk.
SMBR,Semen Baturaja (Persero) Tbk.
SMCB,Holcim Indonesia Tbk.
SMDM,Suryamas Dutamakmur Tbk.
SMDR,Samudera Indonesia  Tbk.
SMGR,Semen Indonesia (Persero) Tbk.
SMMA,Sinarmas Multiartha Tbk.
SMMT,Golden Eagle Energy Tbk.
SMRA,Summarecon Agung Tbk.
SMRU,SMR Utama Tbk.
SMSM,Selamat Sempurna Tbk.
SOCI,Soechi Lines Tbk.
SONA,Sona Topas Tourism Industry Tbk.
SOSS,Shield On Service Tbk.
SOTS,Satria Mega Kencana Tbk.
SPMA,Suparma Tbk.
SPTO,Surya Pertiwi Tbk.
SQMI,Renuka Coalindo Tbk.
SRAJ,Sejahteraraya Anugrahjaya Tbk.
SRIL,Sri Rejeki Isman Tbk.
SRSN,Indo Acidatama Tbk
SRTG,Saratoga Investama Sedaya Tbk.
SSIA,Surya Semesta Internusa Tbk.
SSMS,Sawit Sumbermas Sarana Tbk.
SSTM,Sunson Textile Manufacture Tbk
STAR,Star  Petrochem Tbk.
STTP,Siantar Top Tbk.
SUGI,Sugih Energy Tbk.
SULI,SLJ Global Tbk.
SUPR,Solusi Tunas Pratama Tbk.
SURE,Super Energy Tbk.
SWAT,Sriwahana Adityakarta Tbk.
TALF,Tunas Alfin Tbk.
TAMU,Pelayaran Tamarin Samudra Tbk.
TARA,Sitara Propertindo Tbk.
TAXI,Express Transindo Utama Tbk.
TBIG,Tower Bersama Infrastructure Tbk.
TBLA,Tunas Baru Lampung Tbk.
TBMS,Tembaga Mulia Semanan Tbk.
TCID,Mandom Indonesia Tbk.
TCPI,Transcoal Pacific Tbk.
TDPM,Tridomain Performance Materials Tbk.
TELE,Tiphone Mobile Indonesia Tbk.
TFCO,Tifico Fiber Indonesia Tbk.
TGKA,Tigaraksa Satria Tbk.
TGRA,Terregra Asia Energy Tbk.
TIFA,Tifa Finance Tbk.
TINS,Timah Tbk.
TIRA,Tira Austenite Tbk
TIRT,Tirta Mahakam Resources Tbk
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.
TLKM,Telekomunikasi Indonesia (Persero) Tbk.
TMAS,Pelayaran Tempuran Emas Tbk.
TMPI,Sigmagold Inti Perkasa Tbk.
TMPO,Tempo Intimedia Tbk.
TNCA,Trimuda Nuansa Citra Tbk.
TOBA,Toba Bara Sejahtra Tbk.
TOPS,Totalindo Eka Persada Tbk.
TOTL,Total Bangun Persada Tbk.
TOTO,Surya Toto Indonesia Tbk.
TOWR,Sarana Menara Nusantara Tbk.
TPIA,Chandra Asri Petrochemical Tbk.
TPMA,Trans Power Marine Tbk.
TRAM,Trada Alam Minera Tbk.
TRIL,Triwira Insanlestari Tbk.
TRIM,Trimegah Sekuritas Indonesia Tbk.
